PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam
1,7/3/2023,6:43:29 PM,1,1,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Matt Feinstein,mattfe00jos,Right,Joliet slammers,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,86.42391142,2.272105345,0.42912264,2187.70529,142.6241394,10:45,5.429614711,-2.164501275,5.465450795,-23.76758023,15.11140394,-10.22281852,4.787024212,-2.442893691,77.65963095,-3.401599314,-5.113873932,0.44519714,,,,,,,,,,,,5.563606818,7.378267517,2.133629079,50,5.613897453,-0.59784928,-125.5370097,4.205780339,8.784593151,27.92298469,-20.52421875,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,6a690b4c-19fb-11ee-a183-9b9b23bf1a3d,86.61730122,5.429146864,-2.16841003,2.276811234,0.475992635,77.82010074,4.788133055,-2.439677911,-3.383957701,-5.064310502,0.445027531,-10.69473548,13.38789564,13.099381,58.22398317,2130.777731,495.8232487,97.39784154,-0.773991861,0.226640787,0.591244918,,,,,,,,,,,,,,,,,0.99590659,1,,,high,high,37.59841514,66.3845295,55.03454921,Blake Grant-parks,blakgr00scb,Schaumburg boomers
2,7/3/2023,6:43:44 PM,1,2,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Matt Feinstein,mattfe00jos,Right,Joliet slammers,Windup,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,85.7157829,0.19133273,-1.204521269,2255.198874,143.0175889,10:45,5.717963091,1.514162569,6,-22.81980216,15.20272404,-10.01055144,3.993618398,-0.436178119,77.72190826,-4.120359725,-3.098912055,0.443804812,,,,,,,,,,,,5.063621082,8.192288448,-1.414073843,50,5.720520083,2.926480495,-124.7034459,-0.277537616,7.894821385,27.39214305,-19.40124274,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,73565e00-19fb-11ee-9ff5-85b57724d034,85.90591869,5.717441336,1.510172961,0.196728408,-1.156128384,77.87827391,3.994589036,-0.433059509,-4.104715517,-3.050353335,0.443653966,-10.46350109,13.604016,14.0510988,76.96454167,2187.722385,547.533312,97.00795837,-0.774919187,0.242787152,0.583570606,,,,,,,,,,,,,,,,,0.870281662,0,,,medium,high,20.7319125,44.41524007,54.5,Blake Grant-parks,blakgr00scb,Schaumburg boomers
3,7/3/2023,6:43:56 PM,1,3,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Matt Feinstein,mattfe00jos,Right,Joliet slammers,Windup,1,Top,0,2,0,Fastball,,StrikeCalled,,,,,,,87.16716659,-0.73256383,2.038514948,2238.65698,139.8745726,10:45,5.268548361,-2.062823228,5.602679425,-22.51439204,14.78356476,-10.68490818,1.949183174,-0.854001628,78.89555985,-6.187278492,-3.99883198,0.439555829,,,,,,,,,,,,6.324669892,8.125193743,1.895337949,50,5.191500216,-4.154510826,-126.688207,-2.368524619,10.20237926,27.6828719,-19.06722986,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,7a6f8cab-19fb-11ee-83ef-13b19a3817ae,87.35078338,5.267948264,-2.066826126,-0.726195742,2.086425606,79.04824372,1.950333,-0.850732863,-6.169321001,-3.948351378,0.439399629,-11.12663514,13.29329003,13.66022279,82.05319531,2175.332781,528.6892909,97.17133086,-0.743006461,0.2361636,0.626233306,,,,,,,,,,,,,,,,,0.997509642,1,,,high,high,16.15212422,-88.83701629,54.89732057,Blake Grant-parks,blakgr00scb,Schaumburg boomers
4,7/3/2023,6:44:09 PM,1,4,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Matt Feinstein,mattfe00jos,Right,Joliet slammers,Windup,1,Top,0,2,1,Fastball,,Foul,,,,,,,86.9640188,0.18193591,2.226474777,2267.795168,138.2510498,10:30,5.324094681,-1.891078785,5.612152435,-22.75412025,14.73927783,-11.41344925,2.929014822,-0.591082111,78.46017722,-5.035381371,-3.462229872,0.44070596,,,,,,,,,,,,6.780140301,7.831397709,1.708308171,50,5.32514663,-4.536344032,-126.3807566,-0.350381518,10.87390701,27.77169359,-19.61414866,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,8242c123-19fb-11ee-a41a-974918ce33b3,87.14916679,5.323462157,-1.895220217,0.188696178,2.276169478,78.61437531,2.930167383,-0.587661547,-5.017324487,-3.409759888,0.440549141,-11.8722066,13.2053451,8.383685695,88.24818875,2243.561255,330.6475747,98.93138881,-0.738096992,0.14580134,0.658752457,,,,,,,,,,,,,,,,,0.996699203,1,,,high,high,10.57663013,-44.58395978,54.88784757,Blake Grant-parks,blakgr00scb,Schaumburg boomers
5,7/3/2023,6:44:33 PM,1,5,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Matt Feinstein,mattfe00jos,Right,Joliet slammers,Windup,1,Top,0,2,2,Fastball,,InPlay,,LineDrive,Single,0,0,,86.82682225,1.198656473,1.151527397,2240.632526,139.7447613,10:45,5.389133637,-2.00450802,5.577268353,-22.41265539,14.78017434,-10.95046489,3.97661953,-0.733702321,79.12217428,-3.756908424,-2.988416444,0.441818963,97.05161362,14.23290138,-22.47941998,1385.586,,,,214.7311786,,-26.40684608,1.921027564,6.254145977,7.609510723,1.912667052,50,5.477497922,-2.170705111,-126.2044508,1.88638527,9.988928444,28.0132805,-20.02037451,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,90770f7a-19fb-11ee-a295-2dcaf2e5a229,87.01608988,5.388572134,-2.00859313,1.204414583,1.200141583,79.28167457,3.977627891,-0.730388694,-3.740993469,-2.937860449,0.441655865,-11.42120802,13.19073747,7.998959632,96.14933815,2218.832505,311.7954903,99.02705955,-0.755748167,0.139155121,0.639906681,-35.96878583,86.92462767,23.86150154,1.025633657,-0.217628812,3.736707405,-95.50001712,192.3258324,-6.179060066,-26.36338178,-0.242562196,-0.200740881,-0.393266344,0.897242822,,,0.995837269,1,0.990312007,55.73155042,high,high,3.465595667,10.42411744,54.92273165,Blake Grant-parks,blakgr00scb,Schaumburg boomers
6,7/3/2023,6:45:08 PM,2,1,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Liam Mcarthur,liammc00jos,Left,Joliet slammers,Windup,1,Top,0,0,0,Fastball,,BallCalled,,,,,,,85.95437526,2.143630153,1.540600281,2249.686519,143.764552,10:45,5.491590322,-1.966958173,5.602781285,-22.58251638,15.49702925,-10.03029538,4.765483203,-0.357493587,78.1207999,-3.152857665,-3.456713152,0.446475371,,,,,,,,,,,,5.890441649,7.749406506,1.841700983,50,5.660447233,-3.027536491,-124.8569746,3.931794399,9.203230804,27.54373129,-20.06637059,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,a51b4073-19fb-11ee-840a-6bb859b4df31,86.14618254,5.491277914,-1.970746728,2.146456693,1.586763625,78.28354578,4.766381538,-0.354301924,-3.138514628,-3.40802043,0.446307635,-10.48403925,13.86653945,12.69346616,82.15188146,2194.703298,494.3347724,97.55596078,-0.786881267,0.219734958,0.576657975,,,,,,,,,,,,,,,,,0.850330697,1,,,high,high,16.06330669,62.60778763,54.89721871,Blake Grant-parks,blakgr00scb,Schaumburg boomers
7,7/3/2023,6:45:40 PM,2,2,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Liam Mcarthur,liammc00jos,Left,Joliet slammers,Windup,1,Top,0,1,0,Fastball,,BallCalled,,,,,,,85.07120423,0.019912962,3.00219953,2275.235295,145.8684913,10:45,5.467451406,-2.155830467,5.616221933,-22.99476978,16.20055016,-9.381469408,3.320125943,0.771916573,77.81356092,-4.565820826,-1.049777784,0.450597346,,,,,,,,,,,,5.920954237,8.661929506,1.905659561,50,5.454530225,-6.177254673,-123.5618749,-0.6999339,9.084028714,26.37199417,-18.88476999,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,b83e7c75-19fb-11ee-82d7-f95d3e49f011,85.25743402,5.467101711,-2.159502779,0.023253011,3.046634258,77.97345998,3.321010418,0.774984483,-4.551749768,-1.003224187,0.450431926,-9.791758237,14.65568947,18.52465551,82.9794924,2157.348583,722.8711767,94.8187024,-0.784863608,0.317712712,0.53202232,,,,,,,,,,,,,,,,,0.99739724,1,,,high,high,15.31845684,-67.85961359,54.88377807,Blake Grant-parks,blakgr00scb,Schaumburg boomers
8,7/3/2023,6:45:59 PM,2,3,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Liam Mcarthur,liammc00jos,Left,Joliet slammers,,1,Top,0,2,0,Fastball,,BallCalled,,,,,,,86.81578564,1.584182507,2.262941248,2204.728966,141.9937258,10:45,5.353739769,-2.268651329,5.528729833,-23.00171425,14.89175652,-10.19604867,4.093023224,-1.158625287,78.5153287,-3.882487781,-3.550914948,0.442464651,,,,,,,,,,,,6.157950254,7.566250855,2.078930024,50,5.476437426,-4.640051743,-126.0915429,2.731010939,9.825467304,27.77573256,-20.101534,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,c3b4d60f-19fb-11ee-b529-f3685d49e3f9,87.00895221,5.353265841,-2.272665948,1.58884338,2.310192881,78.67557258,4.094081768,-1.155385081,-3.865809507,-3.501443672,0.442299452,-10.65793443,13.27171982,14.33376767,74.45281801,2136.095736,545.8249005,96.8869992,-0.763414648,0.247570068,0.596579531,,,,,,,,,,,,,,,,,0.996369984,1,,,high,high,22.99246379,3.732684179,54.97127017,Blake Grant-parks,blakgr00scb,Schaumburg boomers
9,7/3/2023,6:46:20 PM,2,4,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Liam Mcarthur,liammc00jos,Left,Joliet slammers,,1,Top,0,3,0,Fastball,,StrikeCalled,,,,,,,86.31498468,0.450061321,2.644495915,2193.642091,144.4260611,10:45,5.421519889,-2.081410015,5.654570799,-22.59431295,15.21985809,-9.41834291,3.16669714,0.041128105,78.53847922,-4.966176974,-2.735047071,0.4436858,,,,,,,,,,,,5.907586562,8.146289262,1.863589013,50,5.445493472,-5.481601688,-125.4096737,0.251748518,9.334903469,27.20999505,-19.30164846,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,cfe332c5-19fb-11ee-9d4b-937f811e9557,86.50258042,5.421086477,-2.085063424,0.454362463,2.688295289,78.69526923,3.167687775,0.044113027,-4.950511785,-2.68932138,0.443523331,-9.849073318,13.66662736,15.3607792,76.90282881,2115.278525,581.0872421,96.42769594,-0.784309569,0.264896103,0.560971081,,,,,,,,,,,,,,,,,0.977494534,1,,,high,high,20.78745407,-23.82007655,54.8454292,Blake Grant-parks,blakgr00scb,Schaumburg boomers
10,7/3/2023,6:46:38 PM,2,5,Kobey Schlotman,kobesc00scb,Left,Schaumburg boomers,Liam Mcarthur,liammc00jos,Left,Joliet slammers,,1,Top,0,3,1,Fastball,,InPlay,,Popup,Single,0,0,,87.19611746,0.845487433,2.442350612,2209.709458,145.0905911,10:45,5.270823106,-2.313277311,5.586840872,-22.5975075,15.20711188,-9.27215893,3.262182027,-1.19593337,78.70112436,-4.761764874,-4.159852075,0.439813155,68.33792076,27.46968511,-29.52988895,,-52.88590491,96.45248085,32.51642249,204.6776898,,-29.10346423,2.764868923,5.724546457,7.997558803,2.109712171,50,5.329322232,-5.092883235,-126.6822731,1.142408168,9.227159686,27.8435824,-19.28311531,Schaumburg Boomers,Joliet Slammers,boo01,Independent,Frontier,2cb15487-faff-4acc-8c4c-41c972510f76,db44d399-19fb-11ee-86af-bf93fc213a8e,87.38810672,5.270510885,-2.316979981,0.84826046,2.486209653,78.8595254,3.263156406,-1.192935218,-4.74633633,-4.113723906,0.439650796,-9.708593541,13.62502026,17.30428185,80.28037442,2109.694854,657.269742,95.47385725,-0.782940917,0.297446227,0.546378314,-29.88472326,52.75683636,31.52286387,0.982205376,1.762633569,3.436417455,-99.55281511,178.8356612,,,,,,,,,0.994362768,1,,32.47931416,high,high,17.74766302,-12.97223649,54.91315913,Blake Grant-parks,blakgr00scb,Schaumburg boomers
